City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness,Wind Speed (MPH),Country,Date
corum,40.5,34.75,45.75,58,0,2.57,TR,1612630903
huarmey,-10.0681,-78.1522,75.9,64,86,9.71,PE,1612630903
claremore,36.3126,-95.6161,48.99,46,90,4.61,US,1612630904
praia da vitoria,38.7333,-27.0667,64.4,77,40,11.68,PT,1612630904
provideniya,64.3833,-173.3,2.08,92,71,4.09,RU,1612630904
qaanaaq,77.484,-69.3632,11.07,88,100,7.56,GL,1612630905
kutum,14.2,24.6667,60.78,28,0,10.33,SD,1612630741
berlevag,70.8578,29.0864,26.55,93,100,23.44,NO,1612630906
grand gaube,-20.0064,57.6608,80.01,77,39,3.0,MU,1612630906
leningradskiy,69.3833,178.4167,-13.34,79,74,6.46,RU,1612630907
dehloran,32.6941,47.2679,58.39,69,100,12.62,IR,1612630864
krutinka,56.0055,71.5113,33.57,95,100,20.18,RU,1612630907
lorengau,-2.0226,147.2712,81.55,79,49,5.55,PG,1612630908
codrington,-38.2667,141.9667,58.3,79,91,15.03,AU,1612630908
severo-kurilsk,50.6789,156.125,20.12,94,100,16.04,RU,1612630859
abha,18.2164,42.5053,55.4,76,40,11.5,SA,1612630909
puerto el triunfo,13.2833,-88.55,89.6,61,0,6.91,SV,1612630909
mariel,22.9875,-82.7536,80.6,74,20,10.36,CU,1612630909
tacna,-18.0056,-70.2483,78.8,50,0,8.05,PE,1612630746
sisimiut,66.9395,-53.6735,20.21,76,0,14.99,GL,1612630910
grand-santi,4.25,-54.3833,80.64,90,86,4.79,GF,1612630910
norman wells,65.282,-126.8329,-34.6,67,40,4.61,CA,1612630910
trairi,-3.2778,-39.2689,88.05,55,42,13.27,BR,1612630911
camacha,33.0833,-16.3333,60.8,59,40,19.57,PT,1612630911
antofagasta,-23.65,-70.4,73.99,60,0,13.8,CL,1612630897
price,39.5994,-110.8107,33.8,47,1,3.44,US,1612630912
comodoro rivadavia,-45.8667,-67.5,60.8,67,75,20.71,AR,1612630802
beringovskiy,63.05,179.3167,-9.11,88,1,7.0,RU,1612630912
vila franca do campo,37.7167,-25.4333,59.0,88,40,17.27,PT,1612630912
kemijarvi,66.7131,27.4306,15.33,95,60,9.35,FI,1612630913
hamilton,39.1834,-84.5333,30.2,40,1,4.16,US,1612630913
namibe,-15.1961,12.1522,74.3,74,28,11.21,AO,1612630913
horodniceni,47.5333,26.1667,26.01,93,90,4.61,RO,1612630914
sosua,19.7667,-70.5167,84.2,70,20,13.8,DO,1612630914
kinwat,19.6333,78.2,69.24,32,3,1.86,IN,1612630914
hervey bay,-25.2986,152.8535,75.0,81,100,1.01,AU,1612630915
padrauna,26.9025,83.9819,56.57,63,0,5.88,IN,1612630915
flagstaff,35.1981,-111.6513,39.99,38,1,5.75,US,1612630877
tilichiki,60.4667,166.1,6.42,92,100,13.85,RU,1612630916
basirhat,22.6685,88.8697,66.2,63,20,3.44,IN,1612630916
soyo,-6.1349,12.3689,81.88,82,77,12.53,AO,1612630916
saint george,37.1041,-113.5841,48.99,49,1,3.44,US,1612630816
mosetse,-20.75,26.65,79.45,60,35,5.79,BW,1612630917
victor harbor,-35.5667,138.6167,60.01,98,100,3.0,AU,1612630917
camopi,3.1655,-52.3158,73.74,96,97,3.62,GF,1612630917
vao,-22.6667,167.4833,77.2,87,1,8.08,NC,1612630918
bredasdorp,-34.5322,20.0403,75.2,60,12,17.27,ZA,1612630918
labuhan,-6.8844,112.2051,78.64,85,74,11.41,ID,1612630919
kirkenaer,60.4564,12.0582,15.01,85,0,4.61,NO,1612630919
vilcun,-38.65,-72.2333,62.6,82,90,2.3,CL,1612630919
am timan,11.0297,20.2827,80.6,16,34,6.71,TD,1612630920
torbay,47.6666,-52.7314,37.99,80,90,5.75,CA,1612630920
tsumeb,-19.2333,17.7167,80.24,56,86,7.16,NA,1612630920
inhambane,-23.865,35.3833,86.0,70,40,9.22,MZ,1612630921
touros,-5.1989,-35.4608,89.6,45,40,14.97,BR,1612630921
cherskiy,68.75,161.3,-9.9,81,0,7.09,RU,1612630921
senneterre,48.3835,-77.2328,15.8,79,90,10.36,CA,1612630922
paita,-5.0892,-81.1144,78.98,60,53,9.1,PE,1612630922
guerrero negro,27.9769,-114.0611,63.12,64,0,6.51,MX,1612630922
altamira,-3.2033,-52.2064,89.6,62,40,8.05,BR,1612630923
salalah,17.0151,54.0924,75.2,69,40,8.05,OM,1612630923
manta,-0.95,-80.7333,82.4,74,75,4.61,EC,1612630807
bambous virieux,-20.3428,57.7575,80.01,83,20,5.75,MU,1612630924
astana,51.1801,71.446,30.2,80,0,26.84,KZ,1612630844
pangody,65.85,74.4859,-21.14,87,98,11.95,RU,1612630924
marondera,-18.1853,31.5519,65.37,87,78,4.99,ZW,1612630925
juodupe,56.0833,25.6167,5.4,95,75,4.18,LT,1612630925
burnie,-41.0667,145.9167,61.0,85,78,5.01,AU,1612630697
moose factory,51.2585,-80.6094,3.2,66,90,16.11,CA,1612630925
hovd,48.0056,91.6419,10.9,90,87,2.06,MN,1612630926
batemans bay,-35.7167,150.1833,64.0,91,0,3.27,AU,1612630926
usinsk,65.9939,57.5281,-30.57,83,19,13.65,RU,1612630926
faanui,-16.4833,-151.75,81.48,69,0,10.04,PF,1612630927
port blair,11.6667,92.75,78.98,76,0,7.99,IN,1612630927
sorong,-0.8833,131.25,80.78,79,100,1.16,ID,1612630927
richards bay,-28.783,32.0377,76.53,78,26,9.35,ZA,1612630928
sokoto,13.0609,5.239,90.52,12,70,9.22,NG,1612630928
itupiranga,-5.1347,-49.3267,91.4,49,75,6.91,BR,1612630928
husavik,66.0449,-17.3389,32.0,64,20,9.22,IS,1612630630
setermoen,68.861,18.3486,23.0,86,75,9.22,NO,1612630929
port arthur,38.8,121.2667,30.2,69,0,11.18,CN,1612630929
waingapu,-9.6567,120.2641,78.17,80,100,6.2,ID,1612630929
isangel,-19.55,169.2667,77.56,80,0,3.29,VU,1612630930
geraldton,-28.7667,114.6,69.8,94,90,21.85,AU,1612630930
westport,41.1415,-73.3579,39.99,60,1,11.5,US,1612630806
ossora,59.2353,163.0719,16.74,93,100,22.44,RU,1612630931
okhotsk,59.3833,143.3,2.26,90,100,8.72,RU,1612630931
hofn,64.2539,-15.2082,35.44,84,100,18.16,IS,1612630931
christchurch,-43.5333,172.6333,60.01,82,90,6.91,NZ,1612630745
shihezi,44.3,86.0333,14.38,92,47,0.43,CN,1612630932
asilah,35.465,-6.0348,59.0,77,75,17.27,MA,1612630932
voznesenye,61.0106,35.4781,5.45,94,100,9.28,RU,1612630933
buraydah,26.326,43.975,53.6,100,75,5.75,SA,1612630933
port hawkesbury,45.6169,-61.3485,46.99,76,1,16.11,CA,1612630834
tautira,-17.7333,-149.15,77.0,83,75,13.8,PF,1612630934
esperance,-33.8667,121.9,59.0,88,90,11.5,AU,1612630934
port elizabeth,-33.918,25.5701,73.4,83,75,14.97,ZA,1612630934
mar del plata,-38.0023,-57.5575,69.8,64,75,14.97,AR,1612630784
teya,60.3778,92.6267,15.75,93,100,10.47,RU,1612630935
san quintin,30.4833,-115.95,60.1,67,0,2.62,MX,1612630936
cabedelo,-6.9811,-34.8339,87.8,58,75,12.66,BR,1612630936
neuquen,-38.9516,-68.0591,77.0,47,0,9.22,AR,1612630766
abnub,27.2696,31.1511,66.2,59,0,10.36,EG,1612630819
ocampo,21.65,-101.5,65.98,26,49,17.78,MX,1612630937
iquique,-20.2208,-70.1431,77.0,50,0,16.11,CL,1612630915
kerman,30.2832,57.0788,57.2,9,0,2.66,IR,1612630938
saint-joseph,-21.3667,55.6167,82.4,74,90,4.61,RE,1612630938
ipixuna,-1.7625,-48.8043,82.4,83,75,8.05,BR,1612630938
boyabat,41.4689,34.7667,51.8,51,0,2.59,TR,1612630938
fortuna,40.5982,-124.1573,46.0,100,90,3.11,US,1612630939
nara,34.6851,135.8049,44.01,70,30,3.29,JP,1612630656
najran,17.4924,44.1277,77.0,29,40,9.22,SA,1612630939
sechura,-5.5569,-80.8222,82.04,52,92,6.55,PE,1612630940
grindavik,63.8424,-22.4338,35.6,75,75,17.27,IS,1612630940
bafq,31.6128,55.4107,60.44,29,0,6.87,IR,1612630940
virginia beach,36.8529,-75.978,53.6,26,20,5.75,US,1612630920
kahului,20.8947,-156.47,62.6,77,40,4.61,US,1612630941
dali,25.7,100.1833,46.42,56,1,5.12,CN,1612630942
fallon,39.4735,-118.7774,37.99,70,20,4.61,US,1612630942
port hedland,-20.3167,118.5667,78.8,78,40,6.91,AU,1612630942
opuwo,-18.0607,13.84,84.09,37,100,5.41,NA,1612630943
bargi,22.9833,79.8667,56.03,37,0,7.29,IN,1612630943
chatellerault,46.8,0.5333,46.99,93,90,11.5,FR,1612630943
kidal,18.4411,1.4078,86.99,12,65,12.21,ML,1612630944
cocorit,27.5833,-109.9667,57.2,51,1,2.62,MX,1612630944
dolores,-36.3132,-57.6792,97.14,15,0,11.03,AR,1612630945
altus,34.6381,-99.334,48.99,66,90,11.5,US,1612630945
pontes e lacerda,-15.2261,-59.3353,90.52,43,28,3.91,BR,1612630848
molchanovo,57.5817,83.7692,33.31,98,100,10.45,RU,1612630946
mahebourg,-20.4081,57.7,78.8,83,20,5.75,MU,1612630946
numata,36.6333,139.05,37.0,68,0,5.01,JP,1612630946
tuatapere,-46.1333,167.6833,51.58,86,1,3.74,NZ,1612630947
gamba,-2.65,10.0,81.23,85,86,8.14,GA,1612630947
sao filipe,14.8961,-24.4956,71.28,70,8,16.2,CV,1612630947
bethel,41.3712,-73.414,39.99,44,1,16.11,US,1612630948
soller,39.7662,2.7152,60.8,82,20,10.36,ES,1612630948
harper,4.375,-7.7169,82.92,75,45,9.33,LR,1612630949
vicuna,-30.0319,-70.7081,64.4,72,90,6.91,CL,1612630949
saskylakh,71.9167,114.0833,-36.08,81,76,5.03,RU,1612630949
longyearbyen,78.2186,15.6401,23.0,74,75,5.75,SJ,1612630889
boke,10.9409,-14.2967,100.54,10,40,9.84,GN,1612630950
batagay-alyta,67.8006,130.4114,-25.31,84,100,1.66,RU,1612630950
portland,45.5234,-122.6762,43.0,81,90,5.75,US,1612630853
papara,-3.9839,-38.7273,87.8,62,40,13.8,BR,1612630951
dingle,10.9995,122.6711,74.98,91,71,8.25,PH,1612630951
luderitz,-26.6481,15.1594,76.1,47,0,29.57,NA,1612630951
yaan,7.3833,8.5667,97.52,10,0,6.22,NG,1612630951
tura,25.5198,90.2201,57.72,70,35,3.69,IN,1612630952
florence,43.7667,11.25,59.0,72,0,1.14,IT,1612630864
alta floresta,-9.8756,-56.0861,76.06,88,100,6.44,BR,1612630952
pozo colorado,-23.4923,-58.7972,89.37,29,0,7.76,PY,1612630953
yinchuan,38.4681,106.2731,32.29,77,0,4.23,CN,1612630953
verkhnyaya inta,65.9811,60.3094,-28.5,85,56,9.19,RU,1612630953
san juan,-31.5375,-68.5364,92.1,21,0,5.59,AR,1612630954
davidson,36.1501,-86.7833,44.6,65,20,4.68,US,1612630954
zalari,53.5584,102.5065,7.3,92,100,5.14,RU,1612630955
igarka,67.4667,86.5833,-15.34,88,99,11.16,RU,1612630955
airai,-8.9266,125.4092,60.89,97,100,2.13,TL,1612630955
bengkulu,-3.8004,102.2655,76.48,82,82,5.48,ID,1612630956
mamallapuram,12.6264,80.1722,73.4,78,20,10.65,IN,1612630956
de aar,-30.6497,24.0123,91.56,11,10,10.27,ZA,1612630956
langsa,4.4683,97.9683,74.77,89,77,2.46,ID,1612630957
tommot,58.9564,126.2925,-19.82,83,100,1.01,RU,1612630957
banda aceh,5.5577,95.3222,78.67,83,46,7.87,ID,1612630682
yar-sale,66.8333,70.8333,-30.8,84,100,13.56,RU,1612630958
grand forks,47.9417,-97.4337,-13.0,58,1,19.57,US,1612630958
urdoma,61.7533,48.5442,-6.05,87,100,11.56,RU,1612630959
biak,-0.9131,122.8766,76.75,78,100,3.04,ID,1612630728
faya,18.3851,42.4509,55.4,76,40,11.5,SA,1612630960
fujin,47.26,132.0322,-10.48,88,3,7.23,CN,1612630960
los llanos de aridane,28.6585,-17.9182,66.2,59,20,20.71,ES,1612630960
kashi,39.4547,75.9797,39.2,45,20,8.95,CN,1612630960
seoul,37.5683,126.9778,46.4,87,75,6.91,KR,1612630845
namatanai,-3.6667,152.4333,79.05,80,79,2.73,PG,1612630961
taitung,22.7583,121.1444,66.51,66,0,5.84,TW,1612630961
saint anthony,45.0205,-93.218,-0.4,60,90,18.41,US,1612630962
nouadhibou,20.931,-17.0347,71.6,49,0,19.57,MR,1612630962
mega,4.05,38.3,68.34,46,57,7.67,ET,1612630963
mehamn,71.0357,27.8492,25.72,94,100,19.71,NO,1612630964
yulara,-25.2406,130.9889,78.8,31,18,8.05,AU,1612630964
samarai,-10.6167,150.6667,82.33,77,100,6.08,PG,1612630965
saint-pierre,-21.3393,55.4781,82.4,74,90,4.61,RE,1612630965
aquiraz,-3.9014,-38.3911,87.8,62,40,13.8,BR,1612630965
vagur,61.4732,-6.8119,37.49,76,100,23.33,FO,1612630965
zeya,53.75,127.2667,-15.5,82,0,3.91,RU,1612630966
rurrenabaque,-14.4413,-67.5278,91.4,62,75,5.57,BO,1612630966
ribeira brava,32.65,-17.0667,60.01,72,43,4.0,PT,1612630967
kamenka,51.3223,42.7678,15.01,83,100,11.65,RU,1612630967
bilibino,68.0546,166.4372,-9.09,83,0,2.8,RU,1612630967
maumere,-8.6199,122.2111,79.11,79,83,2.66,ID,1612630968
bull savanna,17.8868,-77.5902,80.78,66,29,21.92,JM,1612630968
ilulissat,69.2167,-51.1,19.4,38,40,21.85,GL,1612630968
palauig,15.435,119.9045,79.03,74,11,2.28,PH,1612630968
yenangyaung,20.4667,94.8833,70.43,54,47,2.55,MM,1612630969
padang,-0.9492,100.3543,75.2,88,20,2.3,ID,1612630878
sinnamary,5.3833,-52.95,79.99,84,89,15.64,GF,1612630969
norton shores,43.1689,-86.2639,18.0,62,90,13.8,US,1612630970
aranos,-24.1333,19.1167,89.64,21,32,12.57,NA,1612630970
west bay,19.3667,-81.4167,86.0,79,20,13.8,KY,1612630970
bermejo,-32.8833,-68.8,86.0,30,20,8.05,AR,1612630970
fort nelson,58.8053,-122.7002,-36.4,67,20,2.3,CA,1612630971
duldurga,50.6761,113.5931,-6.66,87,47,3.47,RU,1612630972
myaundzha,63.0494,147.1858,-28.55,82,5,0.65,RU,1612630972
udachnyy,66.4167,112.4,-36.09,79,0,4.21,RU,1612630972
yabelo,4.8833,38.0833,70.39,38,67,4.83,ET,1612630973
chambas,22.1928,-78.9136,84.2,74,40,6.91,CU,1612630973
panzhihua,26.5851,101.7128,46.99,50,0,0.78,CN,1612630973
homer,59.6425,-151.5483,35.6,75,20,4.61,US,1612630974
pedra azul,-16.0053,-41.2972,81.0,69,96,4.12,BR,1612630974
popondetta,-8.7537,148.2534,74.64,92,100,2.53,PG,1612630974
kavali,14.9167,79.9833,72.61,67,1,8.23,IN,1612630974
balsas,-7.5325,-46.0356,78.84,77,100,2.57,BR,1612630975
constantine,36.365,6.6147,71.6,17,2,20.71,DZ,1612630709
sovetskiy,61.3614,63.5842,-3.78,92,100,12.24,RU,1612630767
taksimo,56.3444,114.8794,-10.39,78,97,1.99,RU,1612630976
maniitsoq,65.4167,-52.9,24.93,78,0,11.88,GL,1612630747
